236.669  115.513: opening buffers
316.453  049.122: BufEnter autocommands
237.570  000.475  000.475: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/util.vim
052.274  000.454: sourcing vimrc file(s)
076.667  000.448  000.448: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/closetag.vim
260.823  000.447  000.447: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/node.vim
019.201  000.423  000.423: sourcing /Users/mochi/.config/nvim/coc.vim
079.356  000.419  000.419: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/fern.vim
241.201  000.409  000.409: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/fri.vim
239.007  000.401  000.401: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/command/fern.vim
275.242  000.389  000.389: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/wait.vim
081.200  000.381  000.381: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Async/Promise.vim
103.815  000.379  000.345: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/rplugin.vim
244.723  000.379  000.379: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/logger.vim
304.878  000.375  000.375: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/App/Action.vim
247.187  000.372  000.372: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Lambda.vim
255.898  000.371  000.371: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/System/Job/Neovim.vim
099.453  000.365  000.365: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/gzip.vim
318.803  000.365  000.365: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern_git_status.vim
272.909  000.364  000.364: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/node.vim
132.760  000.342  000.342: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/whitespace.vim
012.134  000.327: init default autocommands
243.579  000.327  000.327: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/path.vim
120.586  000.321  000.321: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/highlighter.vim
121.742  000.319  000.319: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/hunks.vim
018.201  000.317  000.317: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/ftoff.vim
