

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

289.305  000.058  000.058: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/plenary.nvim/plugin/plenary.vim
290.946  000.536  000.536: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/vsnip.vim
291.419  000.153  000.153: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Position.vim
291.704  000.048  000.048: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/_vsnip.vim
292.530  002.478  001.740: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vsnip/snippet.vim
293.453  000.441  000.441: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/_vsnip/VS/LSP/TextEdit.vim
294.041  000.095  000.095: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Text.vim
295.222  000.278  000.278: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Buffer.vim
295.998  000.176  000.176: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Option.vim
296.944  000.315  000.315: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Diff.vim
297.465  007.591  003.808: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vsnip/session.vim
298.038  008.324  000.733: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/autoload/vsnip.vim
299.168  009.629  001.305: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-vsnip/plugin/vsnip.vim
300.640  000.875  000.875: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/fzf/plugin/fzf.vim
301.666  000.239  000.239: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
301.758  000.024  000.024: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
