

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.919  000.911: locale set
001.573  000.654: inits 1
003.397  001.824: window checked
003.912  000.515: parsing arguments
008.305  004.394: expanding arguments
008.540  000.234: inits 2
009.212  000.672: init highlight
009.215  000.003: waiting for UI
015.236  006.021: done waiting for UI
015.433  000.198: init screen for UI
015.477  000.044: init default mappings
015.550  000.073: init default autocommands
019.122  000.673  000.673: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
020.759  000.555  000.555: sourcing /usr/local/share/nvim/runtime/indent.vim
024.992  000.489  000.489: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
025.788  000.543  000.543: sourcing /usr/local/share/nvim/runtime/filetype.lua
038.971  012.236  012.236: sourcing /usr/local/share/nvim/runtime/filetype.vim
045.098  000.887  000.887: sourcing /usr/local/share/nvim/runtime/ftplugin/vim.vim
048.224  000.712  000.712: sourcing /usr/local/share/nvim/runtime/indent/vim.vim
055.158  001.990  001.990: sourcing /usr/local/share/nvim/runtime/syntax/lua.vim
058.604  009.541  007.551: sourcing /usr/local/share/nvim/runtime/syntax/vim.vim
063.487  003.775  003.775: sourcing /usr/local/share/nvim/runtime/syntax/vim/generated.vim
064.044  040.644  012.462: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
066.987  001.056  001.056: sourcing /Users/mochi/.config/nvim/autoload/jetpack.vim
072.332  001.052  001.052: sourcing /usr/local/share/nvim/runtime/syntax/nosyntax.vim
072.783  000.321  000.321: sourcing /usr/local/share/nvim/runtime/ftplugof.vim
073.429  000.263  000.263: sourcing /usr/local/share/nvim/runtime/indoff.vim
113.182  000.129  000.129: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
117.937  001.119  001.119: sourcing /usr/local/share/nvim/runtime/syntax/lua.vim
118.779  004.931  003.812: sourcing /usr/local/share/nvim/runtime/syntax/vim.vim
121.847  002.943  002.943: sourcing /usr/local/share/nvim/runtime/syntax/vim/generated.vim
126.528  000.467  000.467: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/dracula/autoload/dracula.vim
126.559  003.639  003.173: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/dracula/after/syntax/vim.vim
