

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.014  000.014: --- NVIM STARTING ---
000.937  000.922: locale set
001.587  000.650: inits 1
002.394  000.807: window checked
002.614  000.220: parsing arguments
006.196  003.582: expanding arguments
006.391  000.195: inits 2
007.222  000.831: init highlight
007.224  000.002: waiting for UI
014.812  007.588: done waiting for UI
015.177  000.365: init screen for UI
015.216  000.039: init default mappings
015.310  000.094: init default autocommands
016.148  000.123  000.123: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
016.287  000.049  000.049: sourcing /usr/local/share/nvim/runtime/indent.vim
016.983  000.131  000.131: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
017.172  000.085  000.085: sourcing /usr/local/share/nvim/runtime/filetype.lua
031.470  014.242  014.242: sourcing /usr/local/share/nvim/runtime/filetype.vim
033.451  000.350  000.350: sourcing /usr/local/share/nvim/runtime/ftplugin/vim.vim
034.829  000.219  000.219: sourcing /usr/local/share/nvim/runtime/indent/vim.vim
040.820  002.189  002.189: sourcing /usr/local/share/nvim/runtime/syntax/lua.vim
041.779  006.738  004.549: sourcing /usr/local/share/nvim/runtime/syntax/vim.vim
046.034  004.062  004.062: sourcing /usr/local/share/nvim/runtime/syntax/vim/generated.vim
046.506  029.765  003.937: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
048.523  000.553  000.553: sourcing /Users/mochi/.config/nvim/autoload/jetpack.vim
053.015  000.781  000.781: sourcing /usr/local/share/nvim/runtime/syntax/nosyntax.vim
053.181  000.070  000.070: sourcing /usr/local/share/nvim/runtime/ftplugof.vim
053.314  000.063  000.063: sourcing /usr/local/share/nvim/runtime/indoff.vim
078.624  000.517  000.517: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
085.685  001.629  001.629: sourcing /usr/local/share/nvim/runtime/syntax/lua.vim
086.838  006.702  005.074: sourcing /usr/local/share/nvim/runtime/syntax/vim.vim
090.173  003.212  003.212: sourcing /usr/local/share/nvim/runtime/syntax/vim/generated.vim
090.615  000.111  000.111: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/dracula/autoload/dracula.vim
090.639  000.278  000.167: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/dracula/after/syntax/vim.vim
